PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40086583,Sildenafil Abrogates Radiation-induced Hepatotoxicity In Animal model: The impact,2025 Mar 12,N/A,N/A,N/A
40086555,Design and development of drug delivery nanocarriers based on liquid-liquid phase,2025 Mar 12,Li X,"Pharmaceutical Department, The Affiliated Taian Central Hospital of Qingdao",N/A
40086544,The fucoidan delivery system enhanced the anti-cervical cancer effect of caffeic,2025 Mar 12,"Gao X, Xiao J, Long L","Oncology Center I Department, Qingdao Hiser Hospital Affiliated of Qingdao, Oncology Center I Department, Qingdao Hiser Hospital Affiliated of Qingdao, Oncology Center I Department, Qingdao Hiser Hospital Affiliated of Qingdao",N/A
40086539,"Hortensin 4, main type 1 ribosome inactivating protein from red mountain spinach",2025 Mar 12,N/A,N/A,N/A
40086472,Delphi consensus-based recommendations of tools and outcomes for the assessment,2025 Mar 12,Aquilano M,"Centro di Radiochirurgia Cyberknife IFCA- Casa di Cura Villa Ulivella e Glicini,",N/A
40086453,Prevention and control of HPV-related cancers in people living with HIV.,2025 Mar 11,N/A,N/A,N/A
40086436,Effective targeting of PDGFRA-altered high-grade glioma with avapritinib.,2025 Mar 4,"Mayr L, Neyazi S, Trissal M, Labelle J, Eder SK, Marques JG, de Biagi-Junior CAO, Lo Cascio C, Hack O, Nascimento A, Nguyen CM, Castellani S, Rozowsky JS, Groves A, Panditharatna E, Cruzeiro GAV, Haase RD, Tabatabai K, Baumgartner A, Dubois F, Bandopadhayay P, Ligon K, Filbin MG","Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood",N/A
40086424,Deciphering the mechanisms of PARP inhibitor resistance in prostate cancer:,2025 Mar 13,N/A,N/A,N/A
40086338,Advancements in bone malignancy research through next-generation sequencing,2025 Mar 12,Subramanian P,"Department of Radiation Oncology, Apollo Proton Cancer Centre, Chennai, Tamil",N/A
40086336,H(2)O(2)/O(2) Self-Supplied Nanoplateform for amplifying oxidative stress to,2025 Mar 10,N/A,N/A,N/A
